Frequency,Quality
245,low
167,high
173,high
177,high
169,high
176,high
272,low
184,medium
280,low
285,low
307,low
214,medium
253,low
200,medium
247,low
298,low
165,medium
159,high
166,medium
174,medium
179,medium
167,high
174,medium
263,low
175,medium
155,high
159,high
209,medium
169,high
168,high
248,low
298,low
215,medium
169,high
174,medium
290,low
273,low
161,high
200,medium
276,low
166,high
263,low
157,high
165,medium
172,medium
178,medium
159,high
273,low
300,low
253,low
168,high
160,high
197,medium
252,low
173,high
172,medium
200,medium
262,low
191,medium
288,low
174,medium
196,medium
166,medium
185,medium
173,high
197,medium
259,low
209,medium
290,low
158,high
185,medium
258,low
245,low
278,low
256,low
161,high
158,high
270,low
189,medium
300,low
183,medium
195,medium
169,high
189,medium
168,high
176,high
168,high
165,high
305,low
291,low
185,medium
252,low
206,medium
270,low
176,high
258,low
169,high
260,low
167,high
277,low
281,low
167,high
267,low
175,high
263,low
192,medium
198,medium
177,medium
167,high
301,low
166,medium
306,low
194,medium
280,low
279,low
215,medium
171,high
295,low
303,low
160,high
265,low
278,low
301,low
264,low
189,medium
157,high
161,high
269,low
163,high
157,high
167,high
173,high
299,low
204,medium
168,medium
265,low
290,low
189,medium
173,high
208,medium
165,high
172,medium
199,medium
161,high
307,low
252,low
264,low
185,medium
177,high
202,medium
185,medium
155,high
172,high
170,high
272,low
271,low
215,medium
249,low
173,high
168,high
204,medium
283,low
197,medium
174,medium
172,medium
207,medium
186,medium
256,low
154,high
173,high
183,medium
308,low
272,low
285,low
215,medium
181,medium
295,low
280,low
255,low
165,high
288,low
303,low
202,medium
278,low
159,high
281,low
274,low
174,high
251,low
248,low
263,low
188,medium
276,low
176,high
211,medium
198,medium
199,medium
245,low
270,low
265,low
166,medium
287,low
169,medium
202,medium
156,high
160,high
278,low
279,low
204,medium
173,high
160,high
248,low
189,medium
189,medium
275,low
185,medium
207,medium
180,medium
274,low
261,low
303,low
161,high
194,medium
185,medium
188,medium
279,low
157,high
183,medium
206,medium
170,high
301,low
269,low
208,medium
157,high
176,high
167,high
193,medium
261,low
272,low
281,low
174,high
202,medium
162,high
157,high
175,high
162,high
159,high
172,high
288,low
256,low
176,medium
154,high
176,medium
162,high
154,high
265,low
215,medium
161,high
175,high
263,low
173,high
181,medium
253,low
164,high
183,medium
279,low
167,high
180,medium
162,high
262,low
199,medium
211,medium
162,high
280,low
162,high
166,medium
205,medium
171,high
168,high
182,medium
175,high
257,low
157,high
200,medium
291,low
170,medium
263,low
158,high
175,high
174,medium
177,medium
272,low
169,medium
156,high
162,high
209,medium
206,medium
189,medium
249,low
261,low
270,low
247,low
281,low
159,high
169,medium
164,high
202,medium
197,medium
305,low
292,low
166,medium
261,low
290,low
263,low
161,high
166,medium
184,medium
214,medium
195,medium
160,high
172,high
202,medium
295,low
307,low
197,medium
266,low
172,high
207,medium
166,high
162,high
169,high
161,high
155,high
162,high
165,high
154,high
160,high
271,low
187,medium
304,low
172,medium
162,high
167,high
167,high
180,medium
276,low
195,medium
171,high
253,low
157,high
156,high
261,low
176,high
300,low
255,low
292,low
168,high
181,medium
215,medium
170,high
215,medium
306,low
297,low
177,high
198,medium
254,low
156,high
184,medium
170,medium
205,medium
177,high
197,medium
282,low
161,high
269,low
210,medium
196,medium
159,high
246,low
177,medium
163,high
165,medium
155,high
159,high
169,medium
157,high
165,medium
155,high
169,high
172,high
167,high
192,medium
175,high
159,high
164,high
260,low
160,high
159,high
201,medium
209,medium
296,low
200,medium
202,medium
208,medium
210,medium
181,medium
189,medium
271,low
155,high
278,low
302,low
254,low
160,high
307,low
215,medium
177,high
169,medium
269,low
293,low
303,low
183,medium
156,high
157,high
184,medium
247,low
173,medium
212,medium
165,high
173,high
161,high
167,high
204,medium
206,medium
167,high
188,medium
202,medium
172,high
263,low
199,medium
275,low
275,low
295,low
299,low
169,high
166,high
209,medium
254,low
158,high
160,high
246,low
210,medium
171,high
164,high
197,medium
272,low
162,high
192,medium
169,high
170,medium
290,low
253,low
269,low
